Потребитель,Электрохимическая система,Формфактор,"Габариты ячейки, мм","Габариты сборки/
батареи, мм","Масса полной батареи, кг","Емкость, Ач","Напряжение, В","Количество циклов на заряд/разряд","Длительный ток разряда, А","Максимальный ток разряда, А","Длительный ток заряда, А","Максимальный ток заряда, А"
,,,,,,,,,,,,
ГАЗ,,,,,600,210,350,4000,260,520,260,385
Мотоинвест,,,,1661*1150*291,346,150,355,,150,300,150,300
